
---------- Begin Simulation Statistics ----------
simSeconds                                   0.055933                       # Number of seconds simulated (Second)
simTicks                                  55932586500                       # Number of ticks simulated (Tick)
finalTick                                 55932586500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1025.81                       # Real time elapsed on the host (Second)
hostTickRate                                 54525148                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     655976                       # Number of bytes of host memory used (Byte)
simInsts                                    191083655                       # Number of instructions simulated (Count)
simOps                                      408634013                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   186275                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     398351                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        111865174                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       408896254                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       21                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      409502064                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2068                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               262136                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            316736                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           111781863                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               3.663403                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              2.324965                       # Number of insts issued each cycle
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     75.05% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     75.05% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     75.05% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     75.05% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd      2717946      0.67%     75.71% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     75.71% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu      2718483      0.67%     76.38% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp            0      0.00%     76.38% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt      5436076      1.33%     77.71% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc      2718582      0.67%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShift          229      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAdd            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCvt            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMisc            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMult            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAdd            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAlu            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceCmp            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAes            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAesMix            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma2            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma3            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdPredAlu            0      0.00%     78.37% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemRead     37406015      9.15%     87.53% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemWrite     37378214      9.15%     96.67% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMemRead      9512556      2.33%     99.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMemWrite      4077561      1.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IprAccess            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::InstPrefetch            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::total    408634013                       # Class of committed instruction (Count)
system.cpu.commit.commitEligibleSamples      36022811                       # number cycles where commit BW limit reached (Cycle)
system.cpu.dcache.demandHits::cpu.data       68001275                       # number of demand (read+write) hits (Count)
system.cpu.dcache.demandHits::total          68001275                       # number of demand (read+write) hits (Count)
system.cpu.dcache.overallHits::cpu.data      68001275                       # number of overall hits (Count)
system.cpu.dcache.overallHits::total         68001275                       # number of overall hits (Count)
system.cpu.dcache.demandMisses::cpu.data        12808                       # number of demand (read+write) misses (Count)
system.cpu.dcache.demandMisses::total           12808                       # number of demand (read+write) misses (Count)
system.cpu.dcache.overallMisses::cpu.data        12808                       # number of overall misses (Count)
system.cpu.dcache.overallMisses::total          12808                       # number of overall misses (Count)
system.cpu.dcache.demandMissLatency::cpu.data    651561499                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.demandMissLatency::total    651561499                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.overallMissLatency::cpu.data    651561499                       # number of overall miss ticks (Tick)
system.cpu.dcache.overallMissLatency::total    651561499                       # number of overall miss ticks (Tick)
system.cpu.dcache.demandAccesses::cpu.data     68014083                       # number of demand (read+write) accesses (Count)
system.cpu.dcache.demandAccesses::total      68014083                       # number of demand (read+write) accesses (Count)
system.cpu.dcache.overallAccesses::cpu.data     68014083                       # number of overall (read+write) accesses (Count)
system.cpu.dcache.overallAccesses::total     68014083                       # number of overall (read+write) accesses (Count)
system.cpu.dcache.demandMissRate::cpu.data     0.000188                       # miss rate for demand accesses (Ratio)
system.cpu.dcache.demandMissRate::total      0.000188                       # miss rate for demand accesses (Ratio)
system.cpu.dcache.overallMissRate::cpu.data     0.000188                       # miss rate for overall accesses (Ratio)
system.cpu.dcache.overallMissRate::total     0.000188                       # miss rate for overall accesses (Ratio)
system.cpu.dcache.demandAvgMissLatency::cpu.data 50871.447455                       # average overall miss latency ((Cycle/Count))
system.cpu.dcache.demandAvgMissLatency::total 50871.447455                       # average overall miss latency ((Cycle/Count))
system.cpu.dcache.overallAvgMissLatency::cpu.data 50871.447455                       # average overall miss latency ((Cycle/Count))
system.cpu.dcache.overallAvgMissLatency::total 50871.447455                       # average overall miss latency ((Cycle/Count))
system.cpu.dcache.blockedCycles::no_mshrs        12289                       # number of cycles access was blocked (Cycle)
system.cpu.dcache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.dcache.blockedCauses::no_mshrs          311                       # number of times access was blocked (Count)
system.cpu.dcache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.dcache.avgBlocked::no_mshrs      39.514469                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dcache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dcache.writebacks::writebacks          546                       # number of writebacks (Count)
system.cpu.dcache.writebacks::total               546                       # number of writebacks (Count)
system.cpu.dcache.demandMshrHits::cpu.data         9829                       # number of demand (read+write) MSHR hits (Count)
system.cpu.dcache.demandMshrHits::total          9829                       # number of demand (read+write) MSHR hits (Count)
system.cpu.dcache.overallMshrHits::cpu.data         9829                       # number of overall MSHR hits (Count)
system.cpu.dcache.overallMshrHits::total         9829                       # number of overall MSHR hits (Count)
system.cpu.dcache.demandMshrMisses::cpu.data         2979                       # number of demand (read+write) MSHR misses (Count)
system.cpu.dcache.demandMshrMisses::total         2979                       # number of demand (read+write) MSHR misses (Count)
system.cpu.dcache.overallMshrMisses::cpu.data         2979                       # number of overall MSHR misses (Count)
system.cpu.dcache.overallMshrMisses::total         2979                       # number of overall MSHR misses (Count)
system.cpu.dcache.demandMshrMissLatency::cpu.data    180183499                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.dcache.demandMshrMissLatency::total    180183499                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.dcache.overallMshrMissLatency::cpu.data    180183499                       # number of overall MSHR miss ticks (Tick)
system.cpu.dcache.overallMshrMissLatency::total    180183499                       # number of overall MSHR miss ticks (Tick)
system.cpu.dcache.demandMshrMissRate::cpu.data     0.000044                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.dcache.demandMshrMissRate::total     0.000044                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.dcache.overallMshrMissRate::cpu.data     0.000044                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.dcache.overallMshrMissRate::total     0.000044                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.dcache.demandAvgMshrMissLatency::cpu.data 60484.558241                       # average overall mshr miss latency ((Cycle/Count))
system.cpu.dcache.demandAvgMshrMissLatency::total 60484.558241                       # average overall mshr miss latency ((Cycle/Count))
system.cpu.dcache.overallAvgMshrMissLatency::cpu.data 60484.558241                       # average overall mshr miss latency ((Cycle/Count))
system.cpu.dcache.overallAvgMshrMissLatency::total 60484.558241                       # average overall mshr miss latency ((Cycle/Count))
system.cpu.dcache.replacements                   1956                       # number of replacements (Count)
system.cpu.dcache.ReadReq.hits::cpu.data     26546092                       # number of ReadReq hits (Count)
system.cpu.dcache.ReadReq.hits::total        26546092                       # number of ReadReq hits (Count)
system.cpu.dcache.ReadReq.misses::cpu.data        12208                       # number of ReadReq misses (Count)
system.cpu.dcache.ReadReq.misses::total         12208                       # number of ReadReq misses (Count)
system.cpu.dcache.ReadReq.missLatency::cpu.data    615439000                       # number of ReadReq miss ticks (Tick)
system.cpu.dcache.ReadReq.missLatency::total    615439000                       # number of ReadReq miss ticks (Tick)
system.cpu.dcache.ReadReq.accesses::cpu.data     26558300                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.dcache.ReadReq.accesses::total     26558300                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.dcache.ReadReq.missRate::cpu.data     0.000460                       # miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.missRate::total     0.000460                       # miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.avgMissLatency::cpu.data 50412.762123                       # average ReadReq miss latency ((Tick/Count))
system.cpu.dcache.ReadReq.avgMissLatency::total 50412.762123                       # average ReadReq miss latency ((Tick/Count))
system.cpu.dcache.ReadReq.mshrHits::cpu.data         9824                       # number of ReadReq MSHR hits (Count)
system.cpu.dcache.ReadReq.mshrHits::total         9824                       # number of ReadReq MSHR hits (Count)
system.cpu.dcache.ReadReq.mshrMisses::cpu.data         2384                       # number of ReadReq MSHR misses (Count)
system.cpu.dcache.ReadReq.mshrMisses::total         2384                       # number of ReadReq MSHR misses (Count)
system.cpu.dcache.ReadReq.mshrMissLatency::cpu.data    144873500                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.dcache.ReadReq.mshrMissLatency::total    144873500                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.dcache.ReadReq.mshrMissRate::cpu.data     0.000090                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.mshrMissRate::total     0.000090                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.avgMshrMissLatency::cpu.data 60769.085570                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.dcache.ReadReq.avgMshrMissLatency::total 60769.085570                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.hits::cpu.data     41455183                       # number of WriteReq hits (Count)
system.cpu.dcache.WriteReq.hits::total       41455183                       # number of WriteReq hits (Count)
system.cpu.dcache.WriteReq.misses::cpu.data          600                       # number of WriteReq misses (Count)
system.cpu.dcache.WriteReq.misses::total          600                       # number of WriteReq misses (Count)
system.cpu.dcache.WriteReq.missLatency::cpu.data     36122499                       # number of WriteReq miss ticks (Tick)
system.cpu.dcache.WriteReq.missLatency::total     36122499                       # number of WriteReq miss ticks (Tick)
system.cpu.dcache.WriteReq.accesses::cpu.data     41455783                       # number of WriteReq accesses(hits+misses) (Count)
system.cpu.dcache.WriteReq.accesses::total     41455783                       # number of WriteReq accesses(hits+misses) (Count)
system.cpu.dcache.WriteReq.missRate::cpu.data     0.000014                       # miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.missRate::total     0.000014                       # miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.avgMissLatency::cpu.data 60204.165000                       # average WriteReq miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.avgMissLatency::total 60204.165000                       # average WriteReq miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.mshrHits::cpu.data            5                       # number of WriteReq MSHR hits (Count)
system.cpu.dcache.WriteReq.mshrHits::total            5                       # number of WriteReq MSHR hits (Count)
system.cpu.dcache.WriteReq.mshrMisses::cpu.data          595                       # number of WriteReq MSHR misses (Count)
system.cpu.dcache.WriteReq.mshrMisses::total          595                       # number of WriteReq MSHR misses (Count)
system.cpu.dcache.WriteReq.mshrMissLatency::cpu.data     35309999                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu.dcache.WriteReq.mshrMissLatency::total     35309999                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu.dcache.WriteReq.mshrMissRate::cpu.data     0.000014                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.mshrMissRate::total     0.000014                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.avgMshrMissLatency::cpu.data 59344.536134                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.avgMshrMissLatency::total 59344.536134                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu.dcache.power_state.pwrStateResidencyTicks::UNDEFINED  55932586500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.dcache.tags.tagsInUse          1022.171672                       # Average ticks per tags in use ((Tick/Count))
system.cpu.dcache.tags.totalRefs             68004254                       # Total number of references to valid blocks. (Count)
system.cpu.dcache.tags.sampledRefs               2979                       # Sample count of references to valid blocks. (Count)
system.cpu.dcache.tags.avgRefs           22827.879825                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.dcache.tags.warmupTick              148000                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.dcache.tags.occupancies::cpu.data  1022.171672                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu.dcache.tags.avgOccs::cpu.data     0.998215                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.dcache.tags.avgOccs::total        0.998215                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.dcache.tags.occupanciesTaskId::1024         1023                       # Occupied blocks per task id (Count)
system.cpu.dcache.tags.ageTaskId_1024::4         1023                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ratioOccsTaskId::1024     0.999023                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu.dcache.tags.tagAccesses          136031145                       # Number of tag accesses (Count)
system.cpu.dcache.tags.dataAccesses         136031145                       # Number of data accesses (Count)
system.cpu.dcache.tags.power_state.pwrStateResidencyTicks::UNDEFINED  55932586500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.decode.idleCycles                 26590697                       # Number of cycles decode is idle (Cycle)
system.cpu.decode.blockedCycles              20541650                       # Number of cycles decode is blocked (Cycle)
system.cpu.decode.runCycles                  53089734                       # Number of cycles decode is running (Cycle)
system.cpu.decode.unblockCycles              11553838                       # Number of cycles decode is unblocking (Cycle)
system.cpu.decode.squashCycles                   5944                       # Number of cycles decode is squashing (Cycle)
system.cpu.decode.branchResolved             20410639                       # Number of times decode resolved a branch (Count)
system.cpu.decode.branchMispred               1359334                       # Number of times decode detected a branch misprediction (Count)
system.cpu.decode.decodedInsts              408957184                       # Number of instructions handled by decode (Count)
system.cpu.decode.squashedInsts               3399508                       # Number of squashed instructions handled by decode (Count)
system.cpu.dtb_walker_cache.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
system.cpu.dtb_walker_cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.dtb_walker_cache.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
system.cpu.dtb_walker_cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.dtb_walker_cache.avgBlocked::no_mshrs          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dtb_walker_cache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dtb_walker_cache.replacements            0                       # number of replacements (Count)
system.cpu.dtb_walker_cache.power_state.pwrStateResidencyTicks::UNDEFINED  55932586500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.dtb_walker_cache.tags.tagsInUse            0                       # Average ticks per tags in use ((Tick/Count))
system.cpu.dtb_walker_cache.tags.totalRefs            0                       # Total number of references to valid blocks. (Count)
system.cpu.dtb_walker_cache.tags.sampledRefs            0                       # Sample count of references to valid blocks. (Count)
system.cpu.dtb_walker_cache.tags.avgRefs          nan                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.dtb_walker_cache.tags.warmupTick            0                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.dtb_walker_cache.tags.tagAccesses            0                       # Number of tag accesses (Count)
system.cpu.dtb_walker_cache.tags.dataAccesses            0                       # Number of data accesses (Count)
system.cpu.dtb_walker_cache.tags.power_state.pwrStateResidencyTicks::UNDEFINED  55932586500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.fetch.icacheStallCycles           36106224                       # Number of cycles fetch is stalled on an Icache miss (Cycle)
system.cpu.fetch.insts                      192648390                       # Number of instructions fetch has processed (Count)
system.cpu.fetch.branches                    40845794                       # Number of branches that fetch encountered (Count)
system.cpu.fetch.predictedBranches           31285834                       # Number of branches that fetch has predicted taken (Count)
system.cpu.fetch.cycles                      74306879                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu.fetch.squashCycles                 2730528                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu.fetch.miscStallCycles                  454                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu.fetch.pendingTrapStallCycles          2998                       # Number of stall cycles due to pending traps (Cycle)
system.cpu.fetch.pendingQuiesceStallCycles           44                       # Number of stall cycles due to pending quiesce instructions (Cycle)
system.cpu.fetch.cacheLines                  34703144                       # Number of cache lines fetched (Count)
system.cpu.fetch.icacheSquashes                  2433                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu.fetch.nisnDist::samples          111781863                       # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::mean              3.689382                       # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::stdev             3.408750                       # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::underflows               0      0.00%      0.00% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::0                 42366883     37.90%     37.90% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::1                  3408503      3.05%     40.95% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::2                  6130307      5.48%     46.43% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::3                  4758043      4.26%     50.69% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::4                  2723307      2.44%     53.13% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::5                  7479364      6.69%     59.82% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::6                 10873300      9.73%     69.55% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::7                  3404331      3.05%     72.59% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::8                 30637825     27.41%    100.00% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::overflows                0      0.00%    100.00% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::min_value                0                       # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::max_value                8                       # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::total            111781863                       # Number of instructions fetched each cycle (Total)
system.cpu.fetch.branchRate                  0.365134                       # Number of branch fetches per cycle (Ratio)
system.cpu.fetch.rate                        1.722148                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu.icache.demandHits::cpu.inst       34701271                       # number of demand (read+write) hits (Count)
system.cpu.icache.demandHits::total          34701271                       # number of demand (read+write) hits (Count)
system.cpu.icache.overallHits::cpu.inst      34701271                       # number of overall hits (Count)
system.cpu.icache.overallHits::total         34701271                       # number of overall hits (Count)
system.cpu.icache.demandMisses::cpu.inst         1873                       # number of demand (read+write) misses (Count)
system.cpu.icache.demandMisses::total            1873                       # number of demand (read+write) misses (Count)
system.cpu.icache.overallMisses::cpu.inst         1873                       # number of overall misses (Count)
system.cpu.icache.overallMisses::total           1873                       # number of overall misses (Count)
system.cpu.icache.demandMissLatency::cpu.inst    112965500                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.demandMissLatency::total    112965500                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.overallMissLatency::cpu.inst    112965500                       # number of overall miss ticks (Tick)
system.cpu.icache.overallMissLatency::total    112965500                       # number of overall miss ticks (Tick)
system.cpu.icache.demandAccesses::cpu.inst     34703144                       # number of demand (read+write) accesses (Count)
system.cpu.icache.demandAccesses::total      34703144                       # number of demand (read+write) accesses (Count)
system.cpu.icache.overallAccesses::cpu.inst     34703144                       # number of overall (read+write) accesses (Count)
system.cpu.icache.overallAccesses::total     34703144                       # number of overall (read+write) accesses (Count)
system.cpu.icache.demandMissRate::cpu.inst     0.000054                       # miss rate for demand accesses (Ratio)
system.cpu.icache.demandMissRate::total      0.000054                       # miss rate for demand accesses (Ratio)
system.cpu.icache.overallMissRate::cpu.inst     0.000054                       # miss rate for overall accesses (Ratio)
system.cpu.icache.overallMissRate::total     0.000054                       # miss rate for overall accesses (Ratio)
system.cpu.icache.demandAvgMissLatency::cpu.inst 60312.600107                       # average overall miss latency ((Cycle/Count))
system.cpu.icache.demandAvgMissLatency::total 60312.600107                       # average overall miss latency ((Cycle/Count))
system.cpu.icache.overallAvgMissLatency::cpu.inst 60312.600107                       # average overall miss latency ((Cycle/Count))
system.cpu.icache.overallAvgMissLatency::total 60312.600107                       # average overall miss latency ((Cycle/Count))
system.cpu.icache.blockedCycles::no_mshrs          356                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCauses::no_mshrs            7                       # number of times access was blocked (Count)
system.cpu.icache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.icache.avgBlocked::no_mshrs      50.857143                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.writebacks::writebacks         1186                       # number of writebacks (Count)
system.cpu.icache.writebacks::total              1186                       # number of writebacks (Count)
system.cpu.icache.demandMshrHits::cpu.inst          431                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.demandMshrHits::total           431                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.overallMshrHits::cpu.inst          431                       # number of overall MSHR hits (Count)
system.cpu.icache.overallMshrHits::total          431                       # number of overall MSHR hits (Count)
system.cpu.icache.demandMshrMisses::cpu.inst         1442                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.demandMshrMisses::total         1442                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.overallMshrMisses::cpu.inst         1442                       # number of overall MSHR misses (Count)
system.cpu.icache.overallMshrMisses::total         1442                       # number of overall MSHR misses (Count)
system.cpu.icache.demandMshrMissLatency::cpu.inst     90592000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissLatency::total     90592000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::cpu.inst     90592000                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::total     90592000                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissRate::cpu.inst     0.000042                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.demandMshrMissRate::total     0.000042                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.overallMshrMissRate::cpu.inst     0.000042                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.overallMshrMissRate::total     0.000042                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.demandAvgMshrMissLatency::cpu.inst 62823.855756                       # average overall mshr miss latency ((Cycle/Count))
system.cpu.icache.demandAvgMshrMissLatency::total 62823.855756                       # average overall mshr miss latency ((Cycle/Count))
system.cpu.icache.overallAvgMshrMissLatency::cpu.inst 62823.855756                       # average overall mshr miss latency ((Cycle/Count))
system.cpu.icache.overallAvgMshrMissLatency::total 62823.855756                       # average overall mshr miss latency ((Cycle/Count))
system.cpu.icache.replacements                   1186                       # number of replacements (Count)
system.cpu.icache.ReadReq.hits::cpu.inst     34701271                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.hits::total        34701271                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.misses::cpu.inst         1873                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.misses::total          1873                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.missLatency::cpu.inst    112965500                       # number of ReadReq miss ticks (Tick)
